2020 - 2030 Employment Projections for Dallas
SOC,"SOC Title","Employment","Projected","Absolute Change","Percent Change","Average Annual Openings"
    "15-1252","Software Developers",33683,42600,8917,26.4733,3646
    "15-1254","Web Developers",2379,2798,419,17.6124,229
    "15-1299","Computer Occupations, All Other",7310,8387,1077,14.7332,675
    "15-2031","Operations Research Analysts",2325,3168,843,36.2581,263
    "15-2041","Statisticians",314,464,150,47.7707,42
    "15-2051","Data Scientists",1433,2092,659,45.9874,190
    "17-1011","Architects, Except Landscape and Naval",2978,3368,390,13.0960,261
    "17-1022","Surveyors",521,588,67,12.8599,53
    "17-2011","Aerospace Engineers",659,704,45,6.8285,42
    "17-2041","Chemical Engineers",417,511,94,22.5420,35
    "17-2051","Civil Engineers",3333,3914,581,17.4317,310
    "17-2061","Computer Hardware Engineers",1199,1317,118,9.8415,95
    "17-2071","Electrical Engineers",1415,1584,169,11.9435,113
    "17-2072","Electronics Engineers, Except Computer",2925,3514,589,20.1368,264
    "17-2081","Environmental Engineers",432,468,36,8.3333,37
    "17-2111","Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",242,262,20,8.2645,18
    "17-2112","Industrial Engineers",3350,3896,546,16.2985,279
    "17-2131","Materials Engineers",247,278,31,12.5506,18
    "17-2141","Mechanical Engineers",2910,3143,233,8.0069,200
    "17-2171","Petroleum Engineers",1140,1326,186,16.3158,98
    "17-2199","Engineers, All Other",1217,1343,126,10.3533,93
    "17-3011","Architectural and Civil Drafters",2640,2903,263,9.9621,287
    "17-3012","Electrical and Electronics Drafters",489,576,87,17.7914,59
    "17-3013","Mechanical Drafters",654,646,-8,-1.2232,60
    "17-3019","Drafters, All Other",239,244,5,2.0921,22
    "17-3021","Aerospace Engineering and Operations Technologists and Technicians",121,134,13,10.7438,13
    "17-3022","Civil Engineering Technologists and Technicians",505,562,57,11.2871,55
    "17-3023","Electrical and Electronic Engineering Technologists and Technicians",1337,1384,47,3.5153,130
    "17-3024","Electro-Mechanical and Mechatronics Technologists and Technicians",142,156,14,9.8592,14
    "17-3025","Environmental Engineering Technologists and Technicians",136,161,25,18.3824,15
    "17-3026","Industrial Engineering Technologists and Technicians",1326,1411,85,6.4103,133
    "17-3027","Mechanical Engineering Technologists and Technicians",276,307,31,11.2319,30
    "17-3029","Engineering Technologists and Technicians, Except Drafters, All Other",817,936,119,14.5655,92
    "17-3031","Surveying and Mapping Technicians",1216,1383,167,13.7336,175
    "19-1012","Food Scientists and Technologists",71,78,7,9.8592,9
    "19-1022","Microbiologists",62,69,7,11.2903,7
    "19-1029","Biological Scientists, All Other",196,226,30,15.3061,21
    "19-1042","Medical Scientists, Except Epidemiologists",927,1175,248,26.7530,99
    "19-2021","Atmospheric and Space Scientists",102,137,35,34.3137,14
    "19-2031","Chemists",418,479,61,14.5933,46
    "19-2041","Environmental Scientists and Specialists, Including Health",380,437,57,15.0000,45
    "19-3011","Economists",156,194,38,24.3590,16
    "19-3022","Survey Researchers",169,194,25,14.7929,18
    "19-3034","School Psychologists",725,825,100,13.7931,60
    "19-3039","Psychologists, All Other",436,474,38,8.7156,34
    "19-3051","Urban and Regional Planners",320,355,35,10.9375,32
    "19-4013","Food Science Technicians",173,191,18,10.4046,25
    "19-4021","Biological Technicians",1420,1621,201,14.1549,208
    "19-4031","Chemical Technicians",402,427,25,6.2189,46
    "19-4042","Environmental Science and Protection Technicians, Including Health",198,231,33,16.6667,29
    "19-4043","Geological Technicians, Except Hydrologic Technicians",298,374,76,25.5034,49
    "19-4092","Forensic Science Technicians",168,206,38,22.6190,27
    "19-4099","Life, Physical, and Social Science Technicians, All Other",702,803,101,14.3875,101
    "19-5011","Occupational Health and Safety Specialists",1676,1952,276,16.4678,156
    "19-5012","Occupational Health and Safety Technicians",484,535,51,10.5372,41
    "21-1012","Educational, Guidance, and Career Counselors and Advisors",2289,2648,359,15.6837,262
    "21-1015","Rehabilitation Counselors",221,241,20,9.0498,24
    "21-1018","Substance Abuse, Behavioral Disorder, and Mental Health Counselors",1480,1866,386,26.0811,192
    "21-1019","Counselors, All Other",463,526,63,13.6069,51
    "21-1021","Child, Family, and School Social Workers",2123,2431,308,14.5078,239
    "21-1022","Healthcare Social Workers",1753,2053,300,17.1135,203
    "21-1023","Mental Health and Substance Abuse Social Workers",461,538,77,16.7028,54
    "21-1029","Social Workers, All Other",572,647,75,13.1119,63
    "21-1091","Health Education Specialists",533,660,127,23.8274,74
    "21-1092","Probation Officers and Correctional Treatment Specialists",799,883,84,10.5131,77
    "21-1093","Social and Human Service Assistants",2065,2518,453,21.9370,309
    "21-1094","Community Health Workers",451,583,132,29.2683,67
    "21-2011","Clergy",1935,2301,366,18.9147,246
    "23-1011","Lawyers",12636,14751,2115,16.7379,845
    "23-1021","Administrative Law Judges, Adjudicators, and Hearing Officers",80,86,6,7.5000,5
    "23-1023","Judges, Magistrate Judges, and Magistrates",210,234,24,11.4286,13
    "23-2011","Paralegals and Legal Assistants",4490,5409,919,20.4677,618
    "23-2093","Title Examiners, Abstractors, and Searchers",924,981,57,6.1688,96
    "23-2099","Legal Support Workers, All Other",533,588,55,10.3189,59
    "25-1011","Business Teachers, Postsecondary",530,587,57,10.7547,57
    "25-1021","Computer Science Teachers, Postsecondary",122,143,21,17.2131,14
    "25-1022","Mathematical Science Teachers, Postsecondary",397,439,42,10.5793,43
    "25-1071","Health Specialties Teachers, Postsecondary",3644,4851,1207,33.1229,509
    "25-1072","Nursing Instructors and Teachers, Postsecondary",426,563,137,32.1596,59
    "25-1194","Career/Technical Education Teachers, Postsecondary",1423,1473,50,3.5137,138
    "25-2011","Preschool Teachers, Except Special Education",2990,3537,547,18.2943,379
    "25-2012","Kindergarten Teachers, Except Special Education",1665,1905,240,14.4144,201
    "25-2021","Elementary School Teachers, Except Special Education",11905,13561,1656,13.9101,1067
    "25-2022","Middle School Teachers, Except Special and Career/Technical Education",5042,5742,700,13.8834,452
    "25-2031","Secondary School Teachers, Except Special and Career/Technical Education",8924,10206,1282,14.3658,770
    "25-2032","Career/Technical Education Teachers, Secondary School",1280,1455,175,13.6719,110
    "25-2052","Special Education Teachers, Kindergarten and Elementary School",1085,1235,150,13.8249,99
    "25-2057","Special Education Teachers, Middle School",552,629,77,13.9493,51
    "25-2058","Special Education Teachers, Secondary School",1376,1567,191,13.8808,125
    "25-2059","Special Education Teachers, All Other",155,178,23,14.8387,14
    "25-3021","Self-Enrichment Teachers",1310,1710,400,30.5344,211
    "25-3031","Substitute Teachers, Short-Term",7711,9211,1500,19.4527,1108
    "25-3041","Tutors",2358,2986,628,26.6327,365
    "25-4012","Curators",66,83,17,25.7576,10
    "25-4022","Librarians and Media Collections Specialists",880,1001,121,13.7500,99
    "25-4031","Library Technicians",282,299,17,6.0284,44
    "25-9031","Instructional Coordinators",3117,3540,423,13.5707,351
    "25-9045","Teaching Assistants, Except Postsecondary",8099,9277,1178,14.5450,913
    "25-9099","Educational Instruction and Library Workers, All Other",900,1009,109,12.1111,100
    "27-1011","Art Directors",1347,1525,178,13.2146,163
    "27-1013","Fine Artists, Including Painters, Sculptors, and Illustrators",352,434,82,23.2955,47
    "27-1014","Special Effects Artists and Animators",319,349,30,9.4044,36
    "27-1021","Commercial and Industrial Designers",635,691,56,8.8189,65
    "27-1022","Fashion Designers",56,62,6,10.7143,7
    "27-1023","Floral Designers",386,342,-44,-11.3990,29
    "27-1024","Graphic Designers",3244,3464,220,6.7818,324
    "27-1025","Interior Designers",2019,2167,148,7.3304,203
    "27-1026","Merchandise Displayers and Window Trimmers",3095,3430,335,10.8239,328
    "27-1027","Set and Exhibit Designers",323,358,35,10.8359,34
    "27-1029","Designers, All Other",308,320,12,3.8961,30
    "27-2012","Producers and Directors",1237,1320,83,6.7098,117
    "27-2022","Coaches and Scouts",1280,1789,509,39.7656,261
    "27-3011","Broadcast Announcers and Radio Disc Jockeys",429,424,-5,-1.1655,39
    "27-3031","Public Relations Specialists",4822,5699,877,18.1875,565
    "27-3041","Editors",877,830,-47,-5.3592,77
    "27-3042","Technical Writers",1086,1208,122,11.2339,113
    "27-3043","Writers and Authors",2044,2349,305,14.9217,239
    "27-3091","Interpreters and Translators",820,1034,214,26.0976,108
    "27-3092","Court Reporters and Simultaneous Captioners",222,233,11,4.9550,22
    "27-4011","Audio and Video Technicians",1205,1430,225,18.6722,152
    "27-4012","Broadcast Technicians",240,224,-16,-6.6667,21
    "27-4014","Sound Engineering Technicians",140,164,24,17.1429,17
    "27-4021","Photographers",1554,1861,307,19.7555,185
    "27-4031","Camera Operators, Television, Video, and Film",205,222,17,8.2927,22
    "27-4032","Film and Video Editors",240,254,14,5.8333,24
    "27-4099","Media and Communication Equipment Workers, All Other",94,129,35,37.2340,15
    "29-1011","Chiropractors",562,634,72,12.8114,21
    "29-1021","Dentists, General",1830,2231,401,21.9126,95
    "29-1031","Dietitians and Nutritionists",797,959,162,20.3262,74
    "29-1051","Pharmacists",2901,3531,630,21.7166,184
    "29-1071","Physician Assistants",2070,2905,835,40.3382,221
    "29-1122","Occupational Therapists",1107,1351,244,22.0416,90
    "29-1123","Physical Therapists",2260,2801,541,23.9381,156
    "29-1124","Radiation Therapists",602,731,129,21.4286,47
    "29-1125","Recreational Therapists",303,341,38,12.5413,28
    "29-1126","Respiratory Therapists",1345,1754,409,30.4089,113
    "29-1127","Speech-Language Pathologists",2457,3284,827,33.6589,253
    "29-1128","Exercise Physiologists",715,875,160,22.3776,67
    "29-1129","Therapists, All Other",80,94,14,17.5000,7
    "29-1131","Veterinarians",396,432,36,9.0909,17
    "29-1141","Registered Nurses",30202,34888,4686,15.5155,2156
    "29-1151","Nurse Anesthetists",404,494,90,22.2772,32
    "29-1171","Nurse Practitioners",1956,3259,1303,66.6155,266
    "29-1211","Anesthesiologists",430,469,39,9.0698,16
    "29-1215","Family Medicine Physicians",820,954,134,16.3415,37
    "29-1216","General Internal Medicine Physicians",1059,1138,79,7.4599,38
    "29-1218","Obstetricians and Gynecologists",389,419,30,7.7121,14
    "29-1221","Pediatricians, General",81,88,7,8.6420,3
    "29-1223","Psychiatrists",185,221,36,19.4595,9
    "29-1229","Physicians, All Other",3960,4503,543,13.7121,170
    "29-1249","Surgeons, All Other",440,472,32,7.2727,15
    "29-1292","Dental Hygienists",1770,2239,469,26.4972,169
    "29-1299","Healthcare Diagnosing or Treating Practitioners, All Other",335,381,46,13.7313,27
    "29-2010","Clinical Laboratory Technologists and Technicians",4427,5057,630,14.2309,361
    "29-2031","Cardiovascular Technologists and Technicians",547,634,87,15.9049,50
    "29-2032","Diagnostic Medical Sonographers",704,886,182,25.8523,74
    "29-2033","Nuclear Medicine Technologists",105,120,15,14.2857,10
    "29-2034","Radiologic Technologists and Technicians",1428,1633,205,14.3557,128
    "29-2035","Magnetic Resonance Imaging Technologists",514,590,76,14.7860,47
    "29-2042","Emergency Medical Technicians",737,804,67,9.0909,57
    "29-2051","Dietetic Technicians",294,384,90,30.6122,33
    "29-2052","Pharmacy Technicians",3758,4887,1129,30.0426,417
    "29-2053","Psychiatric Technicians",1025,1216,191,18.6341,98
    "29-2055","Surgical Technologists",895,1014,119,13.2961,79
    "29-2056","Veterinary Technologists and Technicians",768,818,50,6.5104,61
    "29-2057","Ophthalmic Medical Technicians",541,677,136,25.1386,57
    "29-2061","Licensed Practical and Licensed Vocational Nurses",7352,8736,1384,18.8248,745
    "29-2072","Medical Records Specialists",4112,4772,660,16.0506,378
    "29-2081","Opticians, Dispensing",426,484,58,13.6150,41
    "29-9021","Health Information Technologists and Medical Registrars",814,964,150,18.4275,77
    "29-9091","Athletic Trainers",275,352,77,28.0000,31
    "31-1120","Home Health and Personal Care Aides",26554,33701,7147,26.9150,4350
    "31-1131","Nursing Assistants",8830,10326,1496,16.9422,1305
    "31-2011","Occupational Therapy Assistants",438,623,185,42.2374,83
    "31-2012","Occupational Therapy Aides",64,72,8,12.5000,9
    "31-2021","Physical Therapist Assistants",390,563,173,44.3590,73
    "31-2022","Physical Therapist Aides",704,929,225,31.9602,119
    "31-9011","Massage Therapists",429,566,137,31.9347,69
    "31-9091","Dental Assistants",4096,5192,1096,26.7578,647
    "31-9092","Medical Assistants",10339,13497,3158,30.5445,1696
    "31-9093","Medical Equipment Preparers",456,521,65,14.2544,65
    "31-9096","Veterinary Assistants and Laboratory Animal Caretakers",824,900,76,9.2233,145
    "31-9097","Phlebotomists",1392,1708,316,22.7011,212
    "31-9099","Healthcare Support Workers, All Other",909,1106,197,21.6722,142
    "33-1011","First-Line Supervisors of Correctional Officers",88,93,5,5.6818,7
    "33-1012","First-Line Supervisors of Police and Detectives",595,658,63,10.5882,46
    "33-1021","First-Line Supervisors of Firefighting and Prevention Workers",316,359,43,13.6076,26
    "33-1091","First-Line Supervisors of Security Workers",1557,1844,287,18.4329,191
    "33-2011","Firefighters",3693,4145,452,12.2394,333
    "33-3011","Bailiffs",125,133,8,6.4000,13
    "33-3012","Correctional Officers and Jailers",2571,2584,13,0.5056,237
    "33-3021","Detectives and Criminal Investigators",850,907,57,6.7059,69
    "33-3051","Police and Sheriff's Patrol Officers",6645,7436,791,11.9037,613
    "33-9011","Animal Control Workers",135,152,17,12.5926,14
    "33-9032","Security Guards",19043,22769,3726,19.5662,3099
    "33-9091","Crossing Guards and Flaggers",793,930,137,17.2762,184
    "33-9092","Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",1069,1306,237,22.1703,320
    "33-9094","School Bus Monitors",1306,1523,217,16.6156,374
    "35-1011","Chefs and Head Cooks",1095,1441,346,31.5982,197
    "35-1012","First-Line Supervisors of Food Preparation and Serving Workers",10240,12842,2602,25.4102,1951
    "35-2011","Cooks, Fast Food",4181,4152,-29,-0.6936,599
    "35-2012","Cooks, Institution and Cafeteria",3036,3795,759,25.0000,569
    "35-2014","Cooks, Restaurant",13619,20549,6930,50.8848,3160
    "35-2015","Cooks, Short Order",818,953,135,16.5037,142
    "35-2021","Food Preparation Workers",4422,5234,812,18.3627,904
    "35-3011","Bartenders",3503,4712,1209,34.5133,805
    "35-3023","Fast Food and Counter Workers",36926,43793,6867,18.5967,8867
    "35-3031","Waiters and Waitresses",20131,24469,4338,21.5489,4734
    "35-3041","Food Servers, Nonrestaurant",1397,1791,394,28.2033,289
    "35-9011","Dining Room and Cafeteria Attendants and Bartender Helpers",5236,6821,1585,30.2712,1200
    "35-9021","Dishwashers",3644,4458,814,22.3381,725
    "37-1011","First-Line Supervisors of Housekeeping and Janitorial Workers",1734,1942,208,11.9954,227
    "37-2011","Janitors and Cleaners, Except Maids and Housekeeping Cleaners",21247,24258,3011,14.1714,3316
    "37-2012","Maids and Housekeeping Cleaners",11799,13406,1607,13.6198,1828
    "37-3011","Landscaping and Groundskeeping Workers",10286,11863,1577,15.3315,1584
    "37-3013","Tree Trimmers and Pruners",57,67,10,17.5439,9
    "39-2011","Animal Trainers",59,85,26,44.0678,11
    "39-2021","Animal Caretakers",1609,2625,1016,63.1448,414
    "39-3031","Ushers, Lobby Attendants, and Ticket Takers",1397,1784,387,27.7022,403
    "39-3091","Amusement and Recreation Attendants",2060,2717,657,31.8932,567
    "39-3093","Locker Room, Coatroom, and Dressing Room Attendants",103,131,28,27.1845,27
    "39-5012","Hairdressers, Hairstylists, and Cosmetologists",6075,8009,1934,31.8354,957
    "39-6011","Baggage Porters and Bellhops",242,304,62,25.6198,41
    "39-6012","Concierges",888,1084,196,22.0721,146
    "39-9011","Childcare Workers",8067,8799,732,9.0740,1230
    "39-9031","Exercise Trainers and Group Fitness Instructors",3582,5063,1481,41.3456,811
    "39-9032","Recreation Workers",2834,3373,539,19.0191,531
    "39-9041","Residential Advisors",183,213,30,16.3934,31
    "39-9099","Personal Care and Service Workers, All Other",223,258,35,15.6951,36
    "41-1011","First-Line Supervisors of Retail Sales Workers",15677,16952,1275,8.1329,1835
    "41-1012","First-Line Supervisors of Non-Retail Sales Workers",6518,6635,117,1.7950,593
    "41-2011","Cashiers",28713,30353,1640,5.7117,5504
    "41-2021","Counter and Rental Clerks",5178,5784,606,11.7034,683
    "41-2022","Parts Salespersons",3236,3781,545,16.8418,471
    "41-2031","Retail Salespersons",42614,49534,6920,16.2388,7074
    "41-3011","Advertising Sales Agents",1998,1772,-226,-11.3113,210
    "41-3021","Insurance Sales Agents",4794,5518,724,15.1022,532
    "41-3031","Securities, Commodities, and Financial Services Sales Agents",6667,7553,886,13.2893,694
    "41-3041","Travel Agents",808,889,81,10.0248,106
    "41-9011","Demonstrators and Product Promoters",1490,1698,208,13.9597,304
    "41-9021","Real Estate Brokers",1619,1807,188,11.6121,165
    "41-9022","Real Estate Sales Agents",9319,10402,1083,11.6214,952
    "41-9031","Sales Engineers",1989,2133,144,7.2398,225
    "41-9091","Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",2952,2393,-559,-18.9363,283
    "41-9099","Sales and Related Workers, All Other",2555,2774,219,8.5714,361
    "43-1011","First-Line Supervisors of Office and Administrative Support Workers",20456,21819,1363,6.6631,2212
    "43-3011","Bill and Account Collectors",5512,5189,-323,-5.8599,543
    "43-3021","Billing and Posting Clerks",7855,8572,717,9.1279,913
    "43-3031","Bookkeeping, Accounting, and Auditing Clerks",21909,22669,760,3.4689,2520
    "43-3051","Payroll and Timekeeping Clerks",1688,1643,-45,-2.6659,166
    "43-3061","Procurement Clerks",1046,1068,22,2.1033,98
    "43-3071","Tellers",2462,2345,-117,-4.7522,237
    "43-3099","Financial Clerks, All Other",294,349,55,18.7075,40
    "43-4011","Brokerage Clerks",1471,1432,-39,-2.6513,151
    "43-4021","Correspondence Clerks",146,147,1,0.6849,15
    "43-4031","Court, Municipal, and License Clerks",750,827,77,10.2667,86
    "43-4041","Credit Authorizers, Checkers, and Clerks",523,553,30,5.7361,55
    "43-4051","Customer Service Representatives",55503,59896,4393,7.9149,7689
    "43-4061","Eligibility Interviewers, Government Programs",1691,1835,144,8.5157,170
    "43-4071","File Clerks",1500,1425,-75,-5.0000,161
    "43-4081","Hotel, Motel, and Resort Desk Clerks",2675,2988,313,11.7009,495
    "43-4111","Interviewers, Except Eligibility and Loan",1716,1678,-38,-2.2145,204
    "43-4121","Library Assistants, Clerical",479,525,46,9.6033,82
    "43-4131","Loan Interviewers and Clerks",4959,4901,-58,-1.1696,426
    "43-4141","New Accounts Clerks",357,343,-14,-3.9216,32
    "43-4151","Order Clerks",3831,3131,-700,-18.2720,296
    "43-4161","Human Resources Assistants, Except Payroll and Timekeeping",1825,1971,146,8.0000,203
    "43-4171","Receptionists and Information Clerks",10453,11392,939,8.9831,1459
    "43-4181","Reservation and Transportation Ticket Agents and Travel Clerks",4275,4827,552,12.9123,551
    "43-4199","Information and Record Clerks, All Other",2167,2438,271,12.5058,273
    "43-5011","Cargo and Freight Agents",1293,1644,351,27.1462,178
    "43-5021","Couriers and Messengers",2838,2769,-69,-2.4313,261
    "43-5031","Public Safety Telecommunicators",643,719,76,11.8196,70
    "43-5032","Dispatchers, Except Police, Fire, and Ambulance",2598,2824,226,8.6990,271
    "43-5041","Meter Readers, Utilities",480,489,9,1.8750,36
    "43-5051","Postal Service Clerks",537,511,-26,-4.8417,40
    "43-5052","Postal Service Mail Carriers",2313,2201,-112,-4.8422,148
    "43-5053","Postal Service Mail Sorters, Processors, and Processing Machine Operators",2030,1835,-195,-9.6059,149
    "43-5061","Production, Planning, and Expediting Clerks",6546,7575,1029,15.7195,814
    "43-5071","Shipping, Receiving, and Inventory Clerks",12805,13251,446,3.4830,1287
    "43-5111","Weighers, Measurers, Checkers, and Samplers, Recordkeeping",1184,1409,225,19.0034,144
    "43-6011","Executive Secretaries and Executive Administrative Assistants",6095,5440,-655,-10.7465,550
    "43-6012","Legal Secretaries and Administrative Assistants",2939,2486,-453,-15.4134,245
    "43-6013","Medical Secretaries and Administrative Assistants",9839,12034,2195,22.3092,1387
    "43-9021","Data Entry Keyers",3675,2983,-692,-18.8299,290
    "43-9022","Word Processors and Typists",186,130,-56,-30.1075,13
    "43-9031","Desktop Publishers",120,119,-1,-0.8333,13
    "43-9041","Insurance Claims and Policy Processing Clerks",5796,6241,445,7.6777,609
    "43-9051","Mail Clerks and Mail Machine Operators, Except Postal Service",2055,2006,-49,-2.3844,225
    "43-9061","Office Clerks, General",39136,40934,1798,4.5942,4739
    "43-9071","Office Machine Operators, Except Computer",985,890,-95,-9.6447,95
    "43-9081","Proofreaders and Copy Markers",53,55,2,3.7736,7
    "43-9111","Statistical Assistants",99,120,21,21.2121,14
    "43-9199","Office and Administrative Support Workers, All Other",1423,1628,205,14.4062,189
    "45-1011","First-Line Supervisors of Farming, Fishing, and Forestry Workers",94,113,19,20.2128,17
    "45-2092","Farmworkers and Laborers, Crop, Nursery, and Greenhouse",1043,1133,90,8.6290,179
    "47-1011","First-Line Supervisors of Construction Trades and Extraction Workers",7521,8671,1150,15.2905,868
    "47-2021","Brickmasons and Blockmasons",429,449,20,4.6620,43
    "47-2031","Carpenters",6133,6914,781,12.7344,675
    "47-2044","Tile and Stone Setters",844,1054,210,24.8815,101
    "47-2051","Cement Masons and Concrete Finishers",2871,3022,151,5.2595,280
    "47-2061","Construction Laborers",13232,15396,2164,16.3543,1606
    "47-2071","Paving, Surfacing, and Tamping Equipment Operators",260,300,40,15.3846,33
    "47-2073","Operating Engineers and Other Construction Equipment Operators",3819,4416,597,15.6324,490
    "47-2081","Drywall and Ceiling Tile Installers",1834,2156,322,17.5573,195
    "47-2111","Electricians",9428,11604,2176,23.0802,1295
    "47-2121","Glaziers",812,936,124,15.2709,102
    "47-2131","Insulation Workers, Floor, Ceiling, and Wall",313,374,61,19.4888,37
    "47-2141","Painters, Construction and Maintenance",3302,3822,520,15.7480,358
    "47-2151","Pipelayers",276,301,25,9.0580,31
    "47-2152","Plumbers, Pipefitters, and Steamfitters",6007,7114,1107,18.4285,774
    "47-2161","Plasterers and Stucco Masons",96,114,18,18.7500,11
    "47-2171","Reinforcing Iron and Rebar Workers",801,919,118,14.7316,92
    "47-2181","Roofers",1593,1814,221,13.8732,183
    "47-2211","Sheet Metal Workers",2084,2406,322,15.4511,238
    "47-2221","Structural Iron and Steel Workers",1769,1980,211,11.9276,212
    "47-3011","Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",115,124,9,7.8261,15
    "47-3013","Helpers--Electricians",1940,2227,287,14.7938,272
    "47-3014","Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",279,338,59,21.1470,42
    "47-3015","Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",781,929,148,18.9501,115
    "47-3019","Helpers, Construction Trades, All Other",589,699,110,18.6757,86
    "47-4011","Construction and Building Inspectors",1201,1235,34,2.8310,143
    "47-4021","Elevator and Escalator Installers and Repairers",600,727,127,21.1667,74
    "47-4041","Hazardous Materials Removal Workers",286,295,9,3.1469,36
    "47-4051","Highway Maintenance Workers",1218,1369,151,12.3974,147
    "47-4061","Rail-Track Laying and Maintenance Equipment Operators",65,74,9,13.8462,7
    "47-5013","Service Unit Operators, Oil and Gas",319,473,154,48.2759,61
    "47-5022","Excavating and Loading Machine and Dragline Operators, Surface Mining",325,356,31,9.5385,43
    "47-5023","Earth Drillers, Except Oil and Gas",254,293,39,15.3543,36
    "49-1011","First-Line Supervisors of Mechanics, Installers, and Repairers",5194,5834,640,12.3219,552
